,Spot Size ,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
HFO - 47,60,0.12213,0.003362132,15.439,0.40043744,0.9175,0.018116655,8.187996397,0.237112511,,0.664790207,0.524928827
HFO - 48,60,0.12213,0.004027219,15.439,0.464640459,0.9175,0.021421898,8.187996397,0.302024683,,0.624091006,0.596773708
HFO - 43,60,0.12213,0.002563152,15.439,0.389528334,0.9175,0.016034254,8.187996397,0.166245633,,0.607212793,0.52265462
HFO - 44,60,0.12213,0.00229752,15.439,0.36233903,0.9175,0.016614689,8.187996397,0.1581971,,0.512731388,0.631240118
HFO - 45,60,0.12213,0.002762102,15.439,0.391506413,0.9175,0.01638041,8.187996397,0.18821052,,0.659675086,0.354815842
HFO - 40,60,0.12213,0.002679268,15.439,0.4272557,0.9175,0.015523374,8.187996397,0.169752151,,0.719342338,0.450868975
HFO - 41,60,0.12213,0.002383237,15.439,0.396824161,0.9175,0.014527866,8.187996397,0.159370585,,0.669210879,0.356541825
HFO - 42,60,0.12213,0.002543167,15.439,0.380493667,0.9175,0.014613216,8.187996397,0.16777821,,0.671799643,0.531209905
HFO - 37,60,0.12213,0.002535735,15.439,0.397413718,0.9175,0.0138545,8.187996397,0.163401327,,0.737281063,0.383341072
HFO - 38,60,0.12213,0.002839465,15.439,0.441321549,0.9175,0.014582515,8.187996397,0.183239912,,0.677200268,0.343734114
HFO - 39,60,0.12213,0.002822762,15.439,0.410460105,0.9175,0.015052675,8.187996397,0.191872928,,0.727967384,0.472622557
HFO - 34,60,0.12213,0.002974665,15.439,0.413266348,0.9175,0.01623246,8.187996397,0.201277378,,0.672824622,0.395698946
HFO - 35,60,0.12213,0.003164882,15.439,0.450793564,0.9175,0.018649266,8.187996397,0.228885691,,0.68011953,0.480207291
HFO - 36,60,0.12213,0.002197679,15.439,0.351733491,0.9175,0.015479436,8.187996397,0.140790883,,0.495769859,0.451265934
HFO - 70,60,0.12213,0.004072769,15.439,0.445663406,0.9175,0.026459852,8.187996397,0.276055733,,0.527720772,0.566833209
HFO - 71,60,0.12213,0.005111189,15.439,0.408422004,0.9175,0.035819752,8.187996397,0.340971186,,0.37145487,0.801258972
HFO - 72,60,0.12213,0.003487396,15.439,0.356396195,0.9175,0.021004438,8.187996397,0.217514489,,0.53870588,0.538030645
HFO - 73,60,0.12213,0.00383749,15.439,0.420505866,0.9175,0.027309984,8.187996397,0.239722489,,0.494110442,0.572268533
91500-1,35,0.133437428,0.004739902,1.424828532,0.093508134,0.078157564,0.005144051,7.654675112,0.301170556,,0.352043704,0.24255159
91500-10,35,0.132692106,0.004578288,1.386957445,0.100736153,0.075063456,0.005455302,7.709563398,0.295474273,,0.383244703,0.007188257
91500-9,35,0.133463651,0.005333216,1.307304627,0.088844818,0.071964466,0.005264444,7.686437419,0.360978548,,0.428262215,0.285100964
91500-11,35,0.127026462,0.005385085,1.340325593,0.095906545,0.076249072,0.006316893,8.551680046,0.542560874,,0.431529768,0.328000789
91500-12,35,0.131882235,0.00424391,1.315422186,0.093043478,0.070870291,0.004757946,7.61235887,0.248955794,,0.338585461,0.233294206
91500-8,35,0.128727268,0.005069709,1.300137338,0.096754213,0.07268058,0.005498924,8.091283239,0.406140312,,0.435233682,0.109720964
91500-14,35,0.131971322,0.005320246,1.464830485,0.103407914,0.079741308,0.005382091,8.080726973,0.386677602,,0.546081972,-0.111565475
91500-13,35,0.131494746,0.004755808,1.337426639,0.09454536,0.071537743,0.004516395,7.944844751,0.328194911,,0.438597483,0.08789017
91500-15,35,0.141554827,0.006180513,1.503493142,0.101579278,0.076412693,0.004945697,7.556216126,0.411888374,,0.336977155,0.479198502
91500-16,35,0.143267266,0.005423108,1.40118865,0.107837055,0.068872232,0.004988806,7.347090617,0.350542762,,0.512446128,-0.05456814
