,Spot Size ,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_15_4,60,0.653873377,0.015334083,0.015654023,1.99504087,0.061259745,0.161710192,0.663028189,0.403442647
BRc_grain_16_1,60,0.84314269,0.013427058,0.014027483,0.238822347,0.012735978,0.022774824,0.94123277,0.058449059
BRc_grain_16_2,60,0.852900016,0.018397224,0.018850091,0.158176864,0.010503576,0.018450042,0.8982088,0.192549713
BRc_grain_16_3,60,0.854583676,0.01582141,0.016347854,0.150655829,0.004045114,0.011354775,0.757125081,0.378406153
BRc_grain_16_4,60,0.829840828,0.011782069,0.012441276,0.249353654,0.005099664,0.017981038,0.766440768,0.354233399
BRc_grain_22_1,60,0.818382239,0.011161651,0.011836926,0.570322506,0.010212513,0.043806224,0.676564357,0.461409491
BRc_grain_22_2,60,0.768175594,0.010613429,0.011239584,0.722271415,0.01421604,0.054499317,0.73192135,0.45828798
BRc_grain_22_3,60,0.769246251,0.010515713,0.011149069,0.645282084,0.012179721,0.047098275,0.723452222,0.414748088
BRc_grain_22_4,60,0.70394729,0.010229816,0.010776825,1.159909422,0.019767805,0.082746052,0.672241331,0.336897716
BRc_grain_22_5,60,0.707934425,0.008919398,0.00954867,1.173699728,0.018796252,0.081943242,0.73051914,0.309053418
BRc_grain_22_6,60,0.749986373,0.010180631,0.010802238,0.727922004,0.012244179,0.049020455,0.642054841,0.525285685
BRc_grain_28_1,60,0.845834406,0.008722793,0.009626931,0.100257856,0.002503511,0.007709784,0.921185369,0.335309611
