,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
BRc02_grain_58_1,6.24423,0.107516,0.444773,694.494,11.7525,51.0184,0.821706,0.00966204,0.00991013,0.1613,0.00277877,0.0114952,0.350568,0.773413
BRc02_grain_58_2,5.79509,0.127138,0.420815,642.749,10.9217,47.1888,0.819661,0.0104907,0.0107185,0.174337,0.00387723,0.0128333,0.536143,0.880652
BRc02_grain_58_3,4.33802,0.0862552,0.312542,467.121,7.60078,34.2426,0.795995,0.0079319,0.0082141,0.233364,0.00448197,0.0162402,0.424373,0.898297
BRc02_grain_58_4,4.91088,0.0981295,0.354327,540.164,10.8466,40.1799,0.804722,0.00697761,0.0073037,0.205427,0.00429732,0.0155168,0.21669,0.925848
BRc02_grain_58_5,5.56495,0.135765,0.410009,620.006,10.5253,45.6943,0.828468,0.0200015,0.0201245,0.182018,0.00504465,0.0152349,0.733581,0.681945
BRc02_grain_59_1,5.9237,0.0983987,0.424104,669.175,11.6558,49.5462,0.805022,0.0048539,0.00531231,0.170349,0.00294733,0.0127032,0.0643018,0.950771
BRc02_grain_59_2,1.30684,0.0910127,0.128692,128.329,11.5726,14.8108,0.679658,0.0145532,0.0146669,0.835053,0.0435084,0.0615209,-0.25587,0.989129
BRc02_grain_59_3,5.13848,0.172351,0.397123,575.902,19.2906,45.738,0.797444,0.00454086,0.00501921,0.20359,0.00722156,0.0166395,0.011202,0.985948
BRc02_grain_59_4,3.23754,0.0804855,0.239361,355.727,9.28978,27.249,0.780145,0.00555706,0.00593782,0.316539,0.00822706,0.024467,-0.0355341,0.971261
BRc02_grain_59_5,0.831412,0.021128,0.0616208,83.9234,2.28437,6.46274,0.716579,0.00626014,0.00654843,1.23201,0.0260799,0.0760633,-0.0204555,0.979492
BRc02_grain_60_1,3.06853,0.0626786,0.222647,346.002,7.15379,25.9375,0.799939,0.00421845,0.00473255,0.331746,0.00587127,0.0208559,0.0876527,0.990998
BRc02_grain_60_2,3.6808,0.0957651,0.273567,415.754,10.7229,31.8284,0.801377,0.00602273,0.00639465,0.277456,0.00728488,0.0208103,0.164267,0.984429
BRc02_grain_60_3,4.1191,0.06682,0.294465,469.928,7.40368,34.6909,0.811545,0.00420767,0.00473717,0.246018,0.00359987,0.015864,0.0520298,0.987993
BRc02_grain_60_4,3.6785,0.108342,0.278068,414.81,12.0112,32.2388,0.801423,0.00532726,0.00574444,0.280936,0.00739539,0.0189808,0.135922,0.988764
BRc02_grain_60_5,4.93592,0.160509,0.37927,570.692,17.6927,44.8092,0.825397,0.00922021,0.00948217,0.209351,0.00744366,0.0175888,0.202161,0.959894
BRc02_grain_61_1,3.68322,0.0760121,0.267461,424.682,7.70609,31.6051,0.826682,0.00660998,0.00697183,0.276087,0.0057832,0.0203491,0.327166,0.956363
BRc02_grain_61_2,2.41729,0.0363149,0.172162,269.117,4.04545,19.8299,0.795898,0.00642807,0.00677314,0.416728,0.00618936,0.0293426,0.206564,0.930789
BRc02_grain_61_3,2.59636,0.0537895,0.188621,291.943,6.01024,21.9309,0.804843,0.00561256,0.00601325,0.391911,0.00743625,0.0260763,0.239616,0.986173
BRc02_grain_61_4,2.61367,0.051685,0.189204,297.581,5.37153,22.1738,0.818338,0.00576203,0.00616578,0.38782,0.0071227,0.0260742,0.401831,0.955132
BRc02_grain_61_5,2.5836,0.0615648,0.190148,296.338,6.84314,22.4789,0.820137,0.0059551,0.00634825,0.390066,0.010436,0.0322325,0.310648,0.978467
BRc02_grain_61_6,3.147,0.0720066,0.231303,362.098,8.66038,27.5723,0.838625,0.00612149,0.00652152,0.321105,0.00759229,0.0243883,0.180004,0.970842
BRc02_grain_61_7,2.27698,0.0610808,0.170316,258.568,6.88909,19.9105,0.832401,0.00686143,0.0072154,0.446425,0.0120737,0.033666,0.130667,0.970856
BRc02_grain_62_1,2.52812,0.0614393,0.18691,291.251,7.2544,22.2482,0.843423,0.00464436,0.00516582,0.403605,0.00997409,0.030343,-0.0570862,0.973042
BRc02_grain_62_10,1.60185,0.0265021,0.114224,179.851,2.85897,13.2157,0.811129,0.00503712,0.00548671,0.631799,0.010435,0.0449747,0.270049,0.940997
BRc02_grain_62_2,2.21529,0.0652845,0.167756,253.864,7.73795,19.8823,0.837021,0.00462094,0.00513725,0.465717,0.0138428,0.0355705,-0.081563,0.983617
BRc02_grain_62_3,2.07798,0.13083,0.195175,238.572,16.3462,23.7291,0.824934,0.00568823,0.00610326,0.533769,0.0242763,0.036216,-0.337249,0.995584
BRc02_grain_62_4,1.74999,0.0520178,0.132674,196.46,6.00413,15.3846,0.816982,0.00548137,0.00590299,0.590525,0.0175777,0.0448329,-0.0311416,0.975512
BRc02_grain_62_5,1.69012,0.0571342,0.13086,189.236,6.59964,15.1491,0.813418,0.00483469,0.00530399,0.618229,0.0211067,0.0483427,-0.135584,0.985675
BRc02_grain_62_6,2.11499,0.0466366,0.15457,241.204,5.43504,18.1989,0.828251,0.00435071,0.00488486,0.480546,0.0104934,0.0347786,-0.0130443,0.976799
BRc02_grain_62_7,1.97867,0.0518948,0.147187,226.825,6.08432,17.4246,0.830608,0.00511279,0.00557692,0.520386,0.0146355,0.0415102,-0.0334211,0.971633
BRc02_grain_62_8,1.84457,0.0255332,0.130744,210.353,2.98182,15.4047,0.822733,0.00527053,0.00571369,0.54599,0.00782372,0.0400617,0.251571,0.931107
BRc02_grain_62_9,1.49113,0.0278894,0.10721,167.44,3.07715,12.4029,0.811679,0.0053529,0.00577852,0.679049,0.0124244,0.0477608,0.221384,0.953369
BRc02_grain_63_1,5.30408,0.105999,0.383209,596.556,11.5379,44.3908,0.814251,0.00613975,0.00651647,0.191164,0.00391009,0.0141358,0.225079,0.91719
BRc02_grain_63_2,5.86424,0.146249,0.431547,663.49,15.683,50.0669,0.817167,0.00654402,0.00690118,0.173835,0.00347764,0.0102617,0.301203,0.982989
BRc02_grain_63_3,7.14965,0.11116,0.507198,823.406,12.7865,60.4532,0.830916,0.00557415,0.00600301,0.140792,0.00213982,0.0097635,0.138964,0.931676
BRc02_grain_63_4,4.81394,0.149283,0.364444,542.871,17.2417,42.5216,0.825875,0.00487326,0.00535291,0.214808,0.00633423,0.0154637,-0.0266556,0.984358
BRc02_grain_64_1,6.00923,0.100214,0.4274,683.204,10.8183,50.124,0.833074,0.00569357,0.00611617,0.167918,0.00284004,0.0121124,0.403614,0.923222
BRc02_grain_64_2,5.86084,0.102735,0.419743,659.878,11.1687,48.7868,0.828056,0.00566454,0.00608423,0.173813,0.00303293,0.0123917,0.284349,0.917339
BRc02_grain_64_3,2.46005,0.0715523,0.18471,267.312,7.7095,20.6634,0.798308,0.00641069,0.0067587,0.417167,0.0127456,0.0329024,0.207282,0.973021
BRc02_grain_64_4,4.90163,0.118735,0.359934,546.215,13.216,41.387,0.822055,0.00576093,0.00616831,0.210839,0.00501078,0.0151896,0.112762,0.956511
BRc02_grain_64_5,4.52083,0.131162,0.340425,503.032,14.9958,39.1781,0.81827,0.00641292,0.00677795,0.231648,0.0077001,0.0199852,0.0306696,0.962452
BRc02_grain_64_6,4.19605,0.111316,0.312223,462.773,12.3078,35.5133,0.814725,0.00548673,0.00590572,0.246501,0.00664109,0.0186272,0.106976,0.979396
BRc02_grain_64_7,3.51521,0.174249,0.300492,385.771,19.5748,34.0086,0.809009,0.00558188,0.00598866,0.313723,0.0144582,0.0249332,-0.188596,0.990569
BRc02_grain_64_8,4.36908,0.185453,0.356605,483.153,21.1105,40.7529,0.815448,0.00571324,0.00611743,0.249647,0.0114415,0.0220007,-0.0634878,0.986449
BRc02_grain_64_9,3.03626,0.172193,0.273116,333.365,19.8548,31.2127,0.801877,0.00602458,0.00639684,0.36753,0.0196184,0.0311168,-0.0242493,0.994062
BRc02_grain_66_1,4.41207,0.0729022,0.317548,481.216,7.32384,35.644,0.803074,0.00451863,0.00500558,0.231443,0.00391624,0.0170584,0.379075,0.947462
BRc02_grain_66_2,2.98803,0.0953515,0.230655,320.896,10.4232,25.5438,0.790676,0.00537493,0.00577804,0.348115,0.0111084,0.0268711,0.0601184,0.98843
BRc02_grain_66_3,3.64651,0.0749392,0.268401,395.436,8.0216,29.9867,0.796722,0.00385643,0.00440872,0.279915,0.00576599,0.0206514,0.169678,0.981475
BRc02_grain_66_4,3.55736,0.11761,0.27747,388.375,12.4817,30.9904,0.800457,0.00507876,0.00551375,0.290579,0.00893826,0.0210875,0.22544,0.989714
BRc02_grain_66_5,2.31873,0.0350282,0.163158,248.232,3.92079,18.0789,0.781649,0.00377116,0.00431455,0.435677,0.00625483,0.0291345,0.00343938,0.977693
BRc02_grain_66_6,3.47564,0.0899132,0.263479,385.661,9.56197,30.0635,0.803415,0.00523649,0.00566239,0.299923,0.0079433,0.0232768,0.259854,0.978965
BRc02_grain_67_1,3.46109,0.141285,0.27863,393.369,14.0616,31.6132,0.83336,0.0104617,0.0106978,0.302715,0.0111554,0.0219998,0.0765033,0.970885
BRc02_grain_67_2,3.50209,0.0685575,0.255757,401.646,7.47901,30.1276,0.833397,0.00741574,0.00774519,0.302045,0.00582107,0.0217158,0.281098,0.97351
BRc02_grain_67_3,3.20098,0.12202,0.255728,369.199,11.2248,29.1415,0.848551,0.00745171,0.0077914,0.343188,0.00688457,0.0144286,0.316177,0.990486
BRc02_grain_67_4,3.3482,0.127884,0.267954,390.931,14.9145,32.1531,0.848387,0.0072329,0.00758227,0.327057,0.0125278,0.0262493,0.156198,0.990157
BRc02_grain_67_5,3.0806,0.086887,0.233356,356.506,9.66635,27.7454,0.844267,0.00835288,0.00865427,0.357203,0.0097071,0.0260707,0.335029,0.972703
BRc02_grain_70_1,1.10325,0.0342832,0.0842856,117.341,2.84936,8.96095,0.792147,0.0206532,0.0207621,1.00964,0.0303232,0.0745498,0.56527,0.698796
BRc02_grain_70_2,0.99649,0.0309168,0.0761314,105.199,3.36099,8.31835,0.77341,0.00778138,0.00805303,1.12547,0.0344135,0.0847418,0.0335935,0.986916
BRc02_grain_70_3,1.25201,0.047342,0.099169,133.877,4.18954,10.5195,0.798255,0.015857,0.0160008,0.906056,0.0360079,0.0754272,0.406261,0.910843
BRc02_grain_70_4,1.58028,0.0516057,0.121087,173.804,4.85477,13.3812,0.814323,0.00810588,0.00839488,0.710729,0.023442,0.0550039,0.425827,0.979043
BRc02_grain_70_5,1.26145,0.029419,0.0920104,133.658,2.5626,9.87635,0.782035,0.0104805,0.0106883,0.872037,0.0176843,0.0553091,0.557031,0.95343
BRc02_grain_72_1,1.03126,0.0370066,0.0799735,106.393,3.95391,8.5414,0.757775,0.00879336,0.00902511,1.07033,0.0278147,0.0601092,0.0693463,0.972562
BRc02_grain_72_2,0.927777,0.0213456,0.0665025,94.5472,2.05546,6.92278,0.749823,0.0084811,0.00871621,1.14919,0.0267241,0.0832593,0.314086,0.96961
BRc02_grain_72_3,1.03797,0.0293704,0.0759842,106.31,3.02746,8.01447,0.750397,0.00454409,0.00496973,1.0165,0.0225639,0.0583749,-0.064474,0.989843
BRc02_grain_72_4,1.16379,0.0483132,0.0924884,121.435,5.16087,9.95053,0.76424,0.0070766,0.00736739,0.905569,0.0236997,0.0453696,0.0848617,0.991103
BRc02_grain_72_5,2.09821,0.0819227,0.165551,228.94,9.16884,18.6495,0.77863,0.00706575,0.00736782,0.522891,0.0164533,0.0332491,0.0511815,0.993112
BRc02_grain_72_6,1.78951,0.0431603,0.130511,191.562,4.51119,14.3744,0.762697,0.00716324,0.00744951,0.609055,0.0117859,0.0356389,0.180433,0.987443
BRc02_grain_72_7,1.76361,0.06149,0.136997,187.463,6.6293,15.0238,0.758957,0.00725002,0.00753028,0.628897,0.0154564,0.0344361,0.101863,0.987763
BRc02_grain_74_1,5.90961,0.132842,0.43366,715.59,13.0053,53.52,0.872506,0.0132911,0.0134955,0.185315,0.00408226,0.0133264,0.513555,0.728789
BRc02_grain_74_2,4.84222,0.100515,0.35495,579.703,10.3291,43.6253,0.860307,0.0125205,0.0127312,0.224636,0.0046072,0.0162694,0.472482,0.749934
BRc02_grain_74_3,6.23345,0.170083,0.470364,749.641,15.4261,57.2447,0.874048,0.0199288,0.0200661,0.174176,0.00479202,0.0132523,0.712588,0.158836
BRc02_grain_74_4,4.77684,0.10103,0.352582,566.367,9.23505,42.9912,0.861286,0.0154407,0.0156125,0.224239,0.00454042,0.0158455,0.581164,0.595214
BRc02_grain_74_5,4.34071,0.108674,0.325127,514.215,10.3591,39.3078,0.865605,0.0175379,0.0176908,0.245788,0.00644399,0.0192788,0.592823,0.67325
BRc02_grain_74_6,4.67395,0.0794083,0.342323,557.588,9.14859,42.2357,0.862259,0.00868941,0.0089918,0.222136,0.00394235,0.0169951,0.377196,0.855815
BRc02_grain_74_7,4.36757,0.0632427,0.315458,512.426,6.69866,38.319,0.853942,0.00652044,0.00691087,0.236022,0.00351884,0.0175522,0.361686,0.922631
BRc02_grain_76_1,5.7835,0.186063,0.448465,653.956,17.5703,51.2652,0.834465,0.0169428,0.0170899,0.182712,0.00577352,0.0139158,0.544968,0.761416
BRc02_grain_76_10,4.55288,0.109532,0.337173,513.839,11.0219,38.9384,0.81665,0.00962922,0.00987511,0.222788,0.00580992,0.0178846,0.43959,0.909349
BRc02_grain_76_2,5.69692,0.142083,0.426924,643.095,14.1764,49.3874,0.828706,0.0112799,0.0114967,0.179297,0.00433647,0.01303,0.394505,0.830305
BRc02_grain_76_3,4.94367,0.136798,0.374493,551.095,13.1122,42.5122,0.821014,0.0135029,0.0136812,0.20776,0.00616914,0.0168884,0.489135,0.856928
BRc02_grain_76_4,5.0012,0.122797,0.373651,559.558,12.4736,42.8238,0.820091,0.00823945,0.0085279,0.203835,0.00529744,0.0161192,0.343487,0.942307
BRc02_grain_76_5,4.69522,0.105498,0.346752,527.325,11.3825,40.0358,0.819196,0.00586546,0.00626335,0.217246,0.00501751,0.0164917,0.26686,0.960935
BRc02_grain_76_6,4.36126,0.0936091,0.319979,491.573,10.2981,37.1367,0.813766,0.00420888,0.00474097,0.232369,0.0052272,0.0178678,0.143544,0.98249
BRc02_grain_76_7,4.54409,0.114837,0.338528,518.225,12.6291,39.67,0.821812,0.00777247,0.00807886,0.224236,0.00578701,0.0170596,0.278608,0.959468
BRc02_grain_76_8,4.28972,0.0948872,0.315622,480.967,11.691,36.8333,0.805384,0.00731332,0.00762557,0.234878,0.00536646,0.0178504,0.100721,0.960018
BRc02_grain_76_9,4.30613,0.108739,0.320781,488.812,11.215,37.2256,0.817614,0.00780017,0.00810246,0.236294,0.00596654,0.0176013,0.312753,0.950733
BRc02_grain_78_1,1.05336,0.0197636,0.0763796,117.191,2.15252,8.77243,0.801347,0.00628408,0.00664135,0.959522,0.0175507,0.0678278,0.323185,0.9489
BRc02_grain_78_2,1.19128,0.0187106,0.0854119,132.139,2.02159,9.78686,0.800571,0.00650069,0.00684602,0.8425,0.0138571,0.0632562,0.29815,0.889798
BRc02_grain_78_3,1.12782,0.0229468,0.0821845,122.051,2.40557,9.16952,0.782455,0.00682433,0.00713963,0.891531,0.0186814,0.0669078,0.234607,0.94267
