,Spot Size (µm),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
91500-9,40,0.150166319,0.002134975,901.4768003,11.95686816,1.575433352,0.039211963,956.198766,15.28855893,0.076609566,0.001601871,1089.043652,41.50868602,6.710892727,0.095337755,,0.576938834,-0.031068001
91500-8,40,0.152617969,0.002441985,915.0786343,13.60430329,1.610257445,0.038282038,973.7993299,15.53066191,0.077035826,0.001503253,1102.873758,38.68296085,6.602358615,0.101419993,,0.63958036,0.046686001
91500-30,40,0.154583419,0.002378758,926.0888775,13.27520154,1.619848756,0.038874287,973.7558674,14.9624651,0.076127666,0.001605557,1081.710896,41.22556821,6.516522455,0.100577221,,0.46877079,0.178626144
91500-31,40,0.155344785,0.002125701,930.442976,11.85419271,1.578604788,0.039207792,959.2086321,15.64295,0.073857112,0.001466177,1021.231491,41.60445331,6.472288847,0.088607464,,0.564188094,-0.057806307
BRc_grain_106_1,75,6.650869931,0.726476225,12536.713,318.204355,765.855722,84.20514099,6630.713164,56.53489979,0.835542606,0.006850145,4942.100758,9.17366956,0.170855164,0.008736138,,0.999585933,0.092498871
BRc_grain_106_2,75,5.188236055,0.594829361,11207.03083,287.0542748,582.5966306,65.46445963,6360.261831,51.17308466,0.819443847,0.007392563,4920.647678,10.03878519,0.223242331,0.008407309,,0.999345613,0.174402466
BRc_grain_106_3,75,5.036428831,0.519431258,11058.36472,234.9644453,568.3422871,56.61493577,6351.035011,47.41067942,0.82325434,0.007367419,4923.932048,11.33048346,0.225590838,0.008033908,,0.999089293,0.217685658
BRc_grain_106_4,75,9.660973724,0.80433695,14748.3414,335.1381906,1122.688809,92.78277022,7039.575267,57.40077879,0.845582117,0.009492038,4918.780095,16.04937461,0.11664017,0.006691071,,0.987185683,0.236852305
BRc_grain_107_1,75,3.422963639,0.160809219,9453.442857,202.3750542,394.885914,18.62739146,6040.462541,39.63369858,0.840027552,0.00544605,4949.908473,7.69655519,0.305871557,0.011766382,,0.995621181,0.140348264
BRc_grain_107_2,75,3.259150683,0.120145839,9261.432138,158.2771117,377.4917477,14.09450191,6007.065347,31.33195375,0.841764009,0.005415368,4954.246014,6.898164668,0.317072939,0.009226673,,0.995450122,0.167833032
