,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
LRa02_grain_106_5,18.721,0.538377,1.68193,2255.36,63.4125,209.748,0.87942,0.00645985,0.00645985,0.0538446,0.00142484,0.0044513,0.956267,0.320939
LRa02_grain_106_6,7.3851,0.184509,0.659215,844.008,22.4332,78.8211,0.843509,0.00866424,0.00866424,0.135914,0.00355092,0.0126867,0.87193,0.379689
LRa02_grain_35_1,7.44411,0.0655664,0.633478,840.869,6.14157,73.3337,0.805105,0.00435346,0.00435346,0.159244,0.0014082,0.0136055,0.718433,0.575728
LRa02_grain_35_2,7.37151,0.0751712,0.645184,810.791,7.79986,73.4583,0.785904,0.00393958,0.00393958,0.162689,0.00163761,0.0140554,0.827171,0.34539
LRa02_grain_35_3,7.45295,0.0903858,0.638779,813.292,9.34574,72.0101,0.782002,0.00352947,0.00352947,0.161472,0.00193466,0.0136727,0.914459,0.127616
LRa02_grain_35_4,6.32439,0.120675,0.54365,683.938,12.8341,60.7932,0.777846,0.00397732,0.00397732,0.190651,0.00366495,0.0165108,0.95322,0.0465896
LRa02_grain_37_1,9.58156,0.172922,0.825937,1058.37,23.5215,95.7099,0.802834,0.00620071,0.00620071,0.123428,0.0022523,0.0107578,0.890772,0.446141
LRa02_grain_37_2,9.59234,0.115973,0.831963,1031.73,14.573,90.818,0.793297,0.00663548,0.00663548,0.120857,0.00146727,0.0105259,0.450091,0.576485
LRa02_grain_37_3,8.56908,0.0956814,0.745035,935.235,11.4554,81.8231,0.796677,0.00515,0.00515,0.132518,0.00147625,0.011495,0.646413,0.49394
LRa02_grain_37_4,7.83349,0.0810612,0.678594,851,10.9201,74.4666,0.792879,0.0046407,0.0046407,0.141781,0.00147897,0.012381,0.712444,0.302294
LRa02_grain_37_5,6.93089,0.127237,0.627273,758.284,15.4357,71.2475,0.803647,0.00430025,0.00430025,0.158252,0.00304469,0.0150102,0.947475,0.168322
LRa02_grain_37_6,6.56304,0.153238,0.597627,706.073,12.9153,66.0032,0.79525,0.00533431,0.00533431,0.163297,0.00381667,0.014885,0.796533,0.400845
LRa02_grain_37_7,6.24336,0.216126,0.586994,675.373,20.3165,64.8776,0.80328,0.00581283,0.00581283,0.17074,0.0061056,0.0165827,0.952496,-0.0556086
LRa02_grain_39_1,7.83047,0.20606,0.701144,920.428,25.1992,85.8056,0.841727,0.00544849,0.00544849,0.130292,0.00370979,0.012623,0.956449,0.0150624
LRa02_grain_39_2,7.5625,0.135152,0.661403,878.843,17.3536,80.3185,0.832221,0.00668011,0.00668011,0.132551,0.00251118,0.0122891,0.902687,0.210787
LRa02_grain_39_3,7.46233,0.427595,0.769378,848.6,48.3546,89.8425,0.824947,0.00976306,0.00976306,0.149572,0.00763934,0.0137456,0.980816,-0.092601
LRa02_grain_39_4,4.5559,0.0830027,0.397976,513.231,9.16281,46.659,0.81031,0.00687017,0.00687017,0.218583,0.0045357,0.0217475,0.918338,0.143215
LRa02_grain_42_1,4.80348,0.173441,0.447549,541.905,18.6541,51.8795,0.817102,0.00404422,0.00404422,0.219085,0.00853222,0.0220166,0.984459,0.356354
LRa02_grain_42_10,7.34761,0.0906532,0.637512,823.974,10.6661,74.2283,0.821687,0.0034342,0.0034342,0.136491,0.0016944,0.0119158,0.92075,0.0954966
LRa02_grain_42_11,6.33945,0.119424,0.556925,717.994,14.9262,65.8991,0.810317,0.00358129,0.00358129,0.159347,0.00285842,0.0133301,0.965567,0.13646
LRa02_grain_42_12,5.34999,0.111734,0.477783,596.514,13.1452,55.3331,0.795059,0.00331856,0.00331856,0.189948,0.00406147,0.0173672,0.958468,0.0481436
LRa02_grain_42_13,5.64654,0.0415495,0.485753,634.056,4.95867,56.01,0.801055,0.0040124,0.0040124,0.177659,0.00129619,0.0151537,0.682757,0.360845
LRa02_grain_42_14,5.71515,0.0557382,0.514227,649.907,5.46248,60.5793,0.809009,0.00357495,0.00357495,0.176438,0.00170871,0.0157641,0.773824,0.431468
LRa02_grain_42_15,5.53349,0.0768118,0.485813,628.615,10.1249,57.3786,0.805735,0.00429222,0.00429222,0.183814,0.00252162,0.0159485,0.915818,0.267074
LRa02_grain_42_16,5.00012,0.0879953,0.445599,564.604,10.7617,52.319,0.801443,0.00367098,0.00367098,0.205686,0.00373347,0.0189059,0.952058,0.103761
LRa02_grain_42_17,5.19412,0.0475893,0.459324,589.487,5.89052,53.7345,0.806208,0.00359167,0.00359167,0.197585,0.00185004,0.0178563,0.816234,0.387925
LRa02_grain_42_18,4.60848,0.0530821,0.398255,529.304,5.33856,47.2465,0.815845,0.00378002,0.00378002,0.224673,0.00261873,0.0196473,0.836808,0.217773
LRa02_grain_42_19,5.4278,0.0616905,0.472301,625.647,8.11239,56.6707,0.818657,0.00380067,0.00380067,0.191931,0.00212031,0.016233,0.887158,0.244501
LRa02_grain_42_2,4.86958,0.128444,0.438162,549.155,13.7576,50.9936,0.816581,0.0045548,0.0045548,0.21019,0.00586792,0.0200172,0.969825,0.23381
LRa02_grain_42_20,4.90355,0.097605,0.434802,557.672,11.719,51.5751,0.807733,0.00385575,0.00385575,0.215512,0.0039577,0.0176304,0.965874,-0.172417
LRa02_grain_42_21,4.54628,0.0905228,0.400887,521.561,10.7401,47.9377,0.816506,0.00422426,0.00422426,0.233262,0.00443478,0.0196398,0.955332,-0.127189
