,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis,,,,,,,,,,,,,,
LRa01_grain_61_4,3.56284,0.0755008,0.327767,370.913,7.45188,71.2674,0.765015,0.00353108,0.0038909,0.281992,0.00573829,0.0249113,-0.0399158,0.977297
LRa01_grain_61_5,3.71314,0.0529466,0.336624,390.549,5.37663,74.7759,0.767046,0.00304072,0.0034541,0.268152,0.00384829,0.0244667,0.154527,0.966356
LRa01_grain_61_6,3.49964,0.052718,0.316582,372.728,5.38544,71.0603,0.764754,0.00328179,0.00366592,0.288857,0.00414778,0.0249083,0.25953,0.961127
LRa01_grain_62_1,4.52568,0.121529,0.421905,512.982,12.9617,98.6306,0.814443,0.00821875,0.00840088,0.227756,0.00636906,0.0221111,0.286713,0.911939
LRa01_grain_62_2,4.4011,0.11672,0.409877,504.746,13.3587,97.1351,0.823597,0.00800968,0.00820063,0.234421,0.00665276,0.0233619,0.225326,0.925185
LRa01_grain_62_3,4.73766,0.171817,0.456604,544.763,19.6223,105.746,0.825629,0.00786313,0.0080585,0.223228,0.00924153,0.0245594,0.207214,0.961861
LRa01_grain_62_4,4.3582,0.171695,0.425471,509.595,20.848,99.4826,0.834,0.00605289,0.00630963,0.237711,0.00926079,0.0229488,-0.179981,0.983709
LRa01_grain_63_1,0.32055,0.00596895,0.0292176,21.8737,0.576356,4.21194,0.484382,0.00581792,0.00590922,3.18568,0.0558258,0.273264,-0.34679,0.904196
LRa01_grain_63_2,0.346415,0.00623523,0.0315726,25.8126,0.594706,4.96963,0.531968,0.00804885,0.00812868,2.92096,0.0547223,0.277091,-0.0592269,0.845877
LRa01_grain_63_3,0.220672,0.00361335,0.0200344,12.2595,0.226325,2.35192,0.39711,0.00412906,0.0042153,4.61203,0.0757971,0.42026,-0.0806649,0.86712
LRa01_grain_63_4,0.231249,0.00738471,0.0219377,12.034,0.598641,2.3758,0.366426,0.00790785,0.0079465,4.50122,0.135719,0.40318,-0.601847,0.945607
LRa01_grain_64_1,2.48644,0.0877138,0.238996,265.427,9.90715,51.6637,0.759469,0.00310326,0.00350176,0.424805,0.0138496,0.0377363,-0.365181,0.995666
LRa01_grain_64_2,3.098,0.110398,0.298093,331.942,12.486,64.5864,0.763141,0.00286024,0.0032922,0.341527,0.0115958,0.0313104,-0.432535,0.995313
LRa01_grain_65_1,4.48591,0.054448,0.404274,515.922,5.57714,98.3246,0.821895,0.00376515,0.00415438,0.225636,0.00274262,0.0203638,0.532279,0.926404
LRa01_grain_65_2,3.56862,0.0312116,0.321098,408.206,3.43377,78.5913,0.820882,0.00388473,0.00426216,0.282268,0.00245886,0.0252962,0.303719,0.859611
LRa01_grain_65_3,3.67909,0.0724935,0.337621,419.03,8.41369,81.0372,0.81959,0.00377647,0.00416257,0.276789,0.00561521,0.0261515,0.0143317,0.976462
LRa01_grain_65_4,4.0804,0.0318136,0.366236,465.019,3.52318,88.6215,0.823701,0.00399435,0.00436473,0.246353,0.00190179,0.0218933,0.244668,0.865058
LRa01_grain_66_1,1.53937,0.0369356,0.142465,154.154,4.13537,29.7771,0.739143,0.00496173,0.00520689,0.657008,0.0159154,0.0613874,-0.206753,0.965508
LRa01_grain_66_2,1.83387,0.0277191,0.166136,186.387,2.68072,35.7133,0.753666,0.00523821,0.00548004,0.54173,0.0086275,0.0517094,0.283391,0.921932
LRa01_grain_66_3,2.21661,0.0355604,0.200962,229.125,3.81249,43.8808,0.767964,0.0036694,0.00401942,0.449118,0.00747659,0.0422525,-0.118831,0.963772
LRa01_grain_66_4,2.34815,0.044085,0.214071,246.105,4.45764,47.1225,0.775322,0.00396994,0.00430157,0.42558,0.00828946,0.0402525,0.319075,0.965385
LRa01_grain_68_1,5.31203,0.0867596,0.482479,599.241,9.89377,114.889,0.835108,0.00288577,0.00339266,0.187906,0.00317393,0.0176506,0.0709932,0.974206
LRa01_grain_68_2,6.07037,0.0939971,0.549536,686.064,10.4271,131.07,0.836078,0.00351095,0.00393911,0.164226,0.00252794,0.0147791,0.159089,0.961922
LRa01_grain_68_3,5.60135,0.0888639,0.507244,629.199,9.85719,120.11,0.827885,0.00366948,0.00407341,0.177879,0.00287021,0.0163834,0.185735,0.959265
LRa01_grain_68_4,4.81966,0.109959,0.4437,536.078,11.5666,102.667,0.820947,0.00399626,0.00436412,0.209375,0.00476796,0.0192394,0.300422,0.976397
LRa01_grain_68_5,5.49776,0.100439,0.500353,621.417,12.2959,118.829,0.828639,0.00345626,0.00388317,0.181989,0.00334856,0.0166813,-0.197579,0.972818
LRa01_grain_69_1,3.69904,0.0712953,0.338713,425.071,8.30786,81.898,0.844874,0.00769249,0.00790137,0.271722,0.00540762,0.0256908,0.232792,0.884324
LRa01_grain_69_2,2.80179,0.0318132,0.252104,331.999,3.91874,63.3417,0.865536,0.00512456,0.0054479,0.354775,0.00419327,0.0332295,0.184586,0.935671
LRa01_grain_69_3,2.65208,0.0702119,0.24707,313.532,8.41099,60.3443,0.861602,0.00540111,0.0057061,0.377984,0.010635,0.0374238,0.129696,0.982023
LRa01_grain_69_4,2.67525,0.0334978,0.241412,315.785,3.67183,60.2845,0.864513,0.00509377,0.00541821,0.37299,0.00438811,0.0316242,0.219725,0.929731
LRa01_grain_69_5,2.43318,0.0497191,0.22323,289.557,5.80847,55.5649,0.864593,0.00576326,0.00605196,0.410115,0.00894115,0.0401442,0.262106,0.964787
LRa01_grain_70_1,3.32451,0.115272,0.318766,379.611,13.3327,73.7573,0.837624,0.0155229,0.0156256,0.308551,0.0103534,0.0286305,0.150756,0.846261
LRa01_grain_70_2,4.6188,0.100779,0.42486,544.933,12.0546,104.831,0.846671,0.0075956,0.00780796,0.216881,0.00491563,0.0207231,0.26699,0.92204
LRa01_grain_70_3,1.7514,0.0743729,0.173385,196.282,8.54199,38.4664,0.80207,0.0145044,0.0146052,0.600845,0.0241878,0.0563889,0.204,0.894526
LRa01_grain_70_4,2.52128,0.1118,0.251596,286.572,13.4695,56.3922,0.812258,0.00622777,0.00646497,0.425245,0.0184837,0.041596,-0.210992,0.986418
LRa01_grain_70_5,4.92298,0.0820366,0.447695,578.989,9.72045,111.047,0.843501,0.00561832,0.00590019,0.203258,0.0034921,0.0190573,0.181292,0.923803
LRa01_grain_71_1,2.93539,0.11616,0.286948,322.54,15.7586,63.6309,0.785914,0.0239013,0.0239602,0.345753,0.0122822,0.0303406,0.188372,0.694678
LRa01_grain_71_2,2.65421,0.208689,0.315981,261.829,17.7018,53.0779,0.734198,0.0288428,0.0288854,0.422858,0.0273124,0.0413544,0.154245,0.802853
LRa01_grain_71_3,2.12154,0.0809834,0.206212,226.146,9.78476,44.3152,0.758043,0.0224021,0.0224605,0.480119,0.0182971,0.0465909,0.0891285,0.593988
LRa01_grain_71_4,2.47433,0.227525,0.317324,253.501,24.0299,54.0811,0.73885,0.0340712,0.0341077,0.473949,0.0308588,0.043038,0.395596,0.711158
LRa01_grain_71_5,2.12516,0.0640253,0.200399,224.005,6.46981,43.2805,0.756408,0.0056599,0.00588603,0.483019,0.014112,0.0441705,0.372663,0.967969
LRa01_grain_73_1,3.31313,0.0627763,0.302714,359.966,5.4062,68.9941,0.780261,0.00996257,0.010101,0.301191,0.00584859,0.0282025,0.580124,0.732869
LRa01_grain_73_2,3.16999,0.0971547,0.299446,343.546,10.6299,66.5102,0.775871,0.00327301,0.00366873,0.328366,0.0120873,0.037255,-0.110149,0.990942
LRa01_grain_74_1,1.08085,0.0214728,0.0990296,102.715,2.10877,19.7324,0.681776,0.00408927,0.00434087,0.935271,0.0182009,0.0839398,0.0677502,0.952912
LRa01_grain_74_2,0.83375,0.0113177,0.0753294,77.1318,1.00359,14.7929,0.664883,0.00362196,0.00389048,1.20296,0.0166991,0.111148,0.280132,0.910975
LRa01_grain_74_3,1.24014,0.0265698,0.114037,118.872,2.70688,22.8463,0.688311,0.003183,0.00350619,0.816753,0.0169246,0.0726398,-0.119759,0.978508
LRa01_grain_74_4,0.961406,0.00992875,0.0865281,90.3676,0.979066,17.2552,0.676464,0.00336017,0.00365772,1.03782,0.0105424,0.0918761,0.183137,0.885234
LRa01_grain_74_5,1.1258,0.021507,0.103619,106.717,2.14504,20.6368,0.691189,0.00369196,0.00397626,0.891631,0.0166586,0.0802596,-0.0117179,0.962214
LRa01_grain_75_1,0.956739,0.0135727,0.0859551,96.7183,1.40031,18.417,0.734473,0.00807653,0.00822751,1.03653,0.0150242,0.0951475,0.461065,0.739325
LRa01_grain_75_2,0.554131,0.00656253,0.0498741,49.8524,0.757647,9.59523,0.657256,0.00646912,0.00661973,1.79466,0.0214634,0.163118,0.00768575,0.797622
LRa01_grain_75_3,0.511666,0.00723471,0.0460151,45.5243,0.61668,8.7033,0.651716,0.00554551,0.00571759,1.94777,0.0271804,0.172876,0.249327,0.870137
LRa01_grain_76_1,6.97442,0.132296,0.633166,798.117,14.5835,152.154,0.836677,0.00467385,0.00500393,0.14365,0.00292201,0.0139847,0.208191,0.947916
LRa01_grain_76_2,7.84615,0.193547,0.723405,910.41,22.7066,174.359,0.846475,0.00413532,0.00451337,0.1289,0.00327441,0.0122385,0.0363917,0.975816
LRa01_grain_76_3,7.77421,0.171994,0.712326,895.241,19.4592,171.17,0.842211,0.00516165,0.00546621,0.12936,0.00271835,0.0112582,0.14491,0.959574
LRa01_grain_78_1,1.22312,0.0297669,0.113554,122.254,3.11134,23.6255,0.729075,0.00414811,0.00443085,0.827751,0.0190346,0.0726129,-0.0673421,0.971149
LRa01_grain_78_2,1.13612,0.0165062,0.103222,113.27,1.71142,21.8069,0.728193,0.00303229,0.00340801,0.879445,0.0129773,0.0811539,0.0772326,0.956604
LRa01_grain_78_3,1.29462,0.0609156,0.130739,133.841,6.67368,26.4162,0.750304,0.0044572,0.00473662,0.830598,0.0363273,0.0779667,-0.534443,0.993952
LRa01_grain_79_1,6.36645,0.127326,0.582213,714.286,14.5778,137.136,0.818729,0.00491986,0.00522148,0.158429,0.00343174,0.0156921,0.142684,0.956404
LRa01_grain_79_2,7.95015,0.0892489,0.716655,896.404,8.60826,171.613,0.822369,0.00520795,0.00549625,0.125383,0.00140769,0.0113035,0.475383,0.837201
LRa01_grain_79_3,6.64131,0.0689486,0.597712,744.876,7.25826,142.307,0.818365,0.00366988,0.00406498,0.150018,0.00156472,0.0135645,0.343967,0.877674
LRa01_grain_81_1,4.4162,0.151294,0.424524,469.236,16.6835,91.5903,0.771145,0.00505365,0.00531536,0.233764,0.00973713,0.0273221,0.0124818,0.984618
LRa01_grain_81_2,5.26209,0.0923696,0.480434,567.102,10.1445,108.974,0.78301,0.00334051,0.00373587,0.191124,0.00358954,0.01867,0.0354684,0.967555
LRa01_grain_81_3,4.99376,0.0771196,0.448696,534.449,8.49967,101.23,0.781342,0.0028205,0.00327735,0.203953,0.00319951,0.0186154,0.0456486,0.972079
LRa01_grain_82_1,1.93815,0.0442391,0.179789,194.404,4.44133,37.7031,0.73717,0.00401017,0.00430827,0.529882,0.0110372,0.0448556,0.0136561,0.974893
LRa01_grain_82_2,1.91989,0.0184584,0.173207,190.133,1.66864,36.5117,0.727826,0.00349029,0.00382091,0.529199,0.00487164,0.0457138,0.298423,0.918045
LRa01_grain_84_1,3.9215,0.14278,0.37862,467.009,16.8242,90.8897,0.878226,0.0100389,0.0102127,0.268742,0.00937231,0.0248533,0.139966,0.947403
LRa01_grain_84_2,5.17613,0.193325,0.50143,602.214,23.9909,117.658,0.86627,0.00811457,0.0083229,0.205058,0.00854068,0.0221521,-0.0873046,0.975135
LRa01_grain_85_1,7.51072,0.1281,0.68234,861.14,15.2179,165.26,0.844876,0.00480788,0.00513546,0.135699,0.00233463,0.0124356,0.102776,0.948594
LRa01_grain_86_1,4.17142,0.444841,0.580272,488.208,56.3602,108.971,0.836611,0.0111957,0.0113375,0.354096,0.0348243,0.0454266,-0.603177,0.998022
LRa01_grain_87_1,5.62403,0.183459,0.536,613.284,22.9925,119.595,0.798776,0.00439199,0.0047118,0.184233,0.00582735,0.0170253,-0.111234,0.975504
