Grain,Al,Al_se,Ba,Ba_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
LRa01_grain_12,0.007850355603129416,3.998650166831617e-06,,,0.00045264727338234354,1.3466195598728984e-06,,,,,0.3697866989912143,1.2201000689888702e-05,0.00038820516437406425,1.4017130730587544e-06,,,,,,,0.6048940829602841,1.3177319983691232e-05,0.0003945398154164638,1.7911863775871606e-06,,,0.0129175475375559,3.881157477929957e-06,0.0018303290498747644,1.1389837400117275e-06,0.001485593604768504,2.1629815657825918e-06,,,,
LRa01_grain_13,,,,,,,,,,,0.404209062693023,1.1909311429831993e-05,,,,,,,,,0.5949012337511197,1.195088990335248e-05,,,,,0.0008897035558572839,2.01905358765928e-06,,,,,,,,
LRa01_grain_14,0.004691665068438892,4.088912142410831e-06,,,0.0010546358767175605,1.3569276561862564e-06,,,,,0.3622046213806381,1.1839902650839693e-05,0.000461336437202971,1.3858587531845328e-06,,,0.001592215671976286,1.9851034113280445e-06,,,0.6114528670339192,1.2784387194523673e-05,,,,,0.011920641358504132,3.914613075730027e-06,0.005852675570610529,2.3041888869957635e-06,0.00076934160199231,2.1757732283110587e-06,,,,
LRa01_grain_15,0.0006002587771856722,2.1671440809504165e-06,,,,,,,,,0.4282036401489931,1.3079813419822296e-05,,,,,,,,,0.5675057317876472,1.3182049752251232e-05,,,,,0.003690369286174099,2.100693819753531e-06,,,,,,,,
LRa01_grain_16,,,,,,,,,,,0.39911025324334,1.179389677281688e-05,,,,,,,,,0.6002234102552041,1.1821531166247824e-05,,,,,0.0006663365014558456,2.0271557791209335e-06,,,,,,,,
LRa01_grain_17,0.0035763758494360633,4.225191307058423e-06,,,,,,,,,0.3986268575644278,1.511655281106678e-05,,,,,,,,,0.5959169327795233,1.559757678265875e-05,,,,,0.0007766392432300693,4.058078428966965e-06,0.0011031945633828146,2.3710210227570976e-06,,,,,,
LRa01_grain_18,,,,,,,,,,,0.3982562436240444,1.2855168933630326e-05,,,,,0.0010712156888997733,2.09675473957976e-06,,,0.5975797355978465,1.2961310494949266e-05,,,,,,,0.002329404297094267,1.1801200264633964e-06,0.0007298213205638058,1.0938322893259871e-06,3.357947155122628e-05,1.2285106996370305e-06,,
LRa01_grain_19,0.004116451266635658,4.181008866263644e-06,,,0.0008483787501238383,1.3940508855580329e-06,,,,,0.37910079551619613,1.2811040357074136e-05,,,,,0.0008980974088048585,2.009106471961019e-06,,,0.6008968582328261,1.3535847291897097e-05,,,,,0.011098668897736511,3.96996111232638e-06,0.002253516803809246,1.1778132527708078e-06,0.00078723312386767,1.1070819287283313e-06,,,,
LRa01_grain_20,0.007992791642277564,3.8462020663211985e-06,,,0.0005721701443722396,1.2781731259606348e-06,,,,,0.35220320327673404,1.1299178490838888e-05,0.0005161175349025594,1.3275573202223931e-06,,,,,,,0.6214036058218896,1.2209963843955233e-05,,,,,0.014324900101474787,3.7176236571643154e-06,0.0018003015391907548,1.102294888539258e-06,0.0011869099391583992,2.094723943190754e-06,,,,
LRa01_grain_21,0.005770867438431833,4.13119216086498e-06,,,0.0007625570092670287,1.4086090689409026e-06,,,,,0.3736810196221472,1.256872086906411e-05,,,,,,,,,0.6019680597835017,1.3184211747251829e-05,,,,,0.011533952617238611,3.956798335283465e-06,0.004662792318559681,2.3711332973938255e-06,0.0016207512108539178,2.165143101076676e-06,,,,
LRa01_grain_22,0.00842269569510191,4.069900200591516e-06,,,0.000919508500020867,1.4238868910209143e-06,,,,,0.3550332625639096,1.2192393138773309e-05,0.0009422175540807723,1.4201818210674306e-06,,,0.001451491496186284,2.0485265940872474e-06,,,0.6089519416329838,1.337520031815255e-05,,,,,0.015744111013392827,3.962621577344354e-06,0.008534771544323947,2.298872137138213e-06,,,,,,
LRa01_grain_23,0.00192669710114027,4.114662543105615e-06,,,0.00030571307200638994,1.3845243613544257e-06,,,,,0.383754242781853,1.2593458097169569e-05,,,,,0.0035142213565618405,2.0902993924294733e-06,,,0.6019731575730064,1.3397637527082221e-05,,,,,0.006438751502160942,3.950461043780252e-06,0.0016648346206298884,1.1680937263620763e-06,0.0004223819926413154,1.103383176819723e-06,,,,
LRa01_grain_24,,,,,,,,,,,0.40263719267698944,1.2093621664401625e-05,,,,,,,,,0.595253139131833,1.209355797867403e-05,,,,,0.002109668191177628,2.0221990561167443e-06,,,,,,,,
LRa01_grain_25,0.012007130940627185,4.158213610222765e-06,,,0.0003876258417024959,1.3912323185560789e-06,,,,,0.3690995777097996,1.2553726708228051e-05,0.0003941925851759809,1.4531684242578116e-06,0.01891207515263649,4.633999377674209e-06,0.0011234259975089977,2.1042014820448442e-06,,,0.5751781900445894,1.416204320629028e-05,,,,,0.016364634816964048,4.034563760249667e-06,0.005803528655828135,2.352516691262297e-06,0.0007296182551676773,2.2076889217894754e-06,,,,
