Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se,Ba,Ba_se,Cr,Cr_se,Ni,Ni_se
BRe_grain_02,,,0.2904462585930782,0.0001471789243287125,,,36.6207336078526,0.0011791390617522611,,,,,0.18251858486376585,0.0002195447260280637,,,61.732640505199555,0.0012144376573862748,,,,,1.1736610434909949,0.0004073687395510915,,,,,,,,,,,,,,,,
BRe_grain_03,0.47922071554187756,0.0003408833662443539,,,,,25.945137306998284,0.0008182871486753351,,,,,0.1523083670154424,0.00016808587705169885,,,71.82483154262489,0.0008992410328506642,,,,,1.5349214445822568,0.0003282117104760133,,,0.06358062323724432,9.824436373456958e-05,,,,,,,,,,,,
BRe_grain_04,0.38465337987579307,0.00045218244997125695,,,,,40.536636670182226,0.0013051944397384648,,,,,,,,,58.64849783555665,0.001328932144901493,,,,,0.381342048833792,0.00021565543270105457,,,0.048870065551543426,0.00012881348917607798,,,,,,,,,,,,
BRe_grain_05,0.04913156755344735,0.00022482770631690813,,,,,40.67312374336419,0.001262147815294865,,,,,,,,,59.08927390797866,0.0012736421319578242,,,,,0.18847078110371737,0.00021481888676978459,,,,,,,,,,,,,,,,
BRe_grain_06,0.051873576232262124,0.0003762423967130313,,,,,34.73379811782609,0.0010887892731112345,,,,,,,,,64.92127566495876,0.001119173594012225,,,,,0.07005222935808628,0.00018226946164788936,,,0.22300041162480952,0.00010649067471738165,,,,,,,,,,,,
BRe_grain_07,0.04791671403152928,0.00042513403600992125,,,,,39.6498530348075,0.001197795761203197,,,,,,,,,60.00332282227857,0.001232370441988105,,,,,0.29890742888241184,0.00020964304265035273,,,,,,,,,,,,,,,,
BRe_grain_08,,,,,,,31.890846588893613,0.0010181618821556591,,,,,0.11621761051134646,0.0001968204940656422,,,66.90935104533277,0.0010780682318301752,,,,,1.0835847552622717,0.00040289650346159015,,,,,,,,,,,,,,,,
BRe_grain_09,0.9713568437778483,0.0004783456293507711,0.1501649390811003,0.00016099654678988458,,,38.37209877125055,0.001318354988749998,0.15421277889033028,0.00016680991453855507,,,,,,,57.144969440143,0.0014269048719164526,,,,,2.8743796591402515,0.0004658112523880377,,,0.3328175677169187,0.0001346917658836277,,,,,,,,,,,,
BRe_grain_10,2.0105887294219875,0.00045790094715696437,2.590687223648117,0.0003190361856355749,,,30.043927552630606,0.0012650381866376403,0.7796793895502103,0.00016159326075819994,,,0.103667923094581,0.00022926088372096187,,,56.16387131618444,0.0016869536826105023,0.5188092323909178,0.0001983445854109017,,,5.605702411891942,0.00046712056125948557,,,2.1830662211871954,0.0002653230297593215,,,,,,,,,,,,
BRe_grain_100,0.42002193975288915,0.00034403377657235226,0.7027789925595137,0.00020174051203422982,,,34.716708384250374,0.0013582502328637533,,,,,0.06814935559255894,0.00020474321438372194,,,61.398539120072584,0.001483023818292904,,,,,1.2596829129558262,0.0003389418005954659,,,1.1274594681705974,0.0002281908919560148,0.30665982664566216,0.00019109013333096388,,,,,,,,,,
