Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRe_grain_10,0.3004201967218923,1.2659999808244394e-05,0.561651716003858,1.6787756438518357e-05,0.02183319363175507,2.5846342359907024e-06,0.020115216722243326,4.5065149262016e-06,,,,,0.0010423319074732878,2.1524709705196163e-06,0.0051890427141451385,1.9720920942006486e-06,0.0560464454818039,4.6172217505404036e-06,,,0.02590561656126965,3.1119560464255905e-06,,,,,0.0077962402555592615,1.551628888163494e-06,,,,,titanohematite,,,,,,,,
BRe_grain_22,0.3152954279604053,1.238065573258418e-05,0.623211624321287,1.4354781394773674e-05,0.05101750705512131,3.6666281088857293e-06,0.003015921115597514,3.845599641072932e-06,,,,,0.004346573487586267,1.94083844224883e-06,,,0.003112946060002695,1.8480560845013267e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_29,0.3281208492267968,1.1664985549619603e-05,0.6309442551098433,1.3066557483404244e-05,0.027787586460055885,3.263231707573142e-06,0.004077453545084644,3.787376762582893e-06,,,,,0.0009765955688468071,1.883326587953208e-06,,,0.0043235515375343175,1.7732696914909658e-06,0.003769708551838169,2.0247804515064986e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_32,0.2867510387096311,1.2438630911329552e-05,0.6330864090315942,1.501600055226606e-05,0.06771176142372498,4.92121828897811e-06,0.0023178245076328915,3.8131320499812983e-06,,,,,0.005120957817863579,1.8841685613160368e-06,,,0.001720046249656761,1.8721650007390895e-06,0.003291962259896465,1.972847733036494e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_38,0.2712797065589359,1.2226298080485392e-05,0.6297526943882356,1.5787377936998605e-05,0.08317148350132372,5.12783839468708e-06,0.0028335837594587227,1.9155480949695333e-06,,,,,0.009784810952346033,2.8007135664110244e-06,,,0.0010104656822749075,1.8505907892606855e-06,0.002167255157425136,2.0286031857044095e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_39,0.3554438983578249,1.3125973023136e-05,0.6043864995699795,1.412174280888274e-05,0.021232691534994685,2.3730303791867193e-06,0.011448568279757201,3.986722322191645e-06,,,,,0.0011995319984901658,1.9887743367969627e-06,,,0.001814039206705616,1.9411403374336864e-06,0.004474771052247906,2.1443028294234554e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_42,0.3090731296383347,1.333603300772956e-05,0.6193263561066009,1.552970954733058e-05,0.06531221295564245,3.98700895956273e-06,,,,,,,0.0018100077954487084,1.9802052079296755e-06,,,,,0.00447829350397321,2.060811429787428e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_51,0.36335877797821636,1.3152889498217116e-05,0.6065849475261034,1.4260565344706944e-05,0.016672911507214904,2.341334624888837e-06,0.006642926049316884,3.979024901512053e-06,,,,,0.001769233928862207,2.0474547282419287e-06,,,0.0020522796920180207,1.949123020939531e-06,0.002918923318268336,2.133218743785797e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_53,0.34278002903057175,1.3030442844704453e-05,0.6026577830669394,1.4540295722577853e-05,0.028611797527840016,2.488860786938931e-06,0.014205365626739287,4.179673751465418e-06,,,,,0.003434190880222674,2.048960668140213e-06,,,0.0038525664952708764,2.0172812980299497e-06,0.0037620280126583997,2.224415617858413e-06,0.0006962393597575477,1.411116048742402e-06,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_55,0.3760473689506447,1.245290215830947e-05,0.6043412338438671,1.3233183547161131e-05,0.013016168256956687,2.3770476501101017e-06,0.0019159207024423027,4.126379285360087e-06,,,,,0.001164016200695967,2.009457050936263e-06,,,0.0023805472327603533,1.985983060430224e-06,0.0011347448126330334,2.145593252155469e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_59,0.32557863485903066,1.3182774779937225e-05,0.6162106677789297,1.5080050294903926e-05,0.04302642221459638,3.664447557637507e-06,0.007630387963203972,4.016564392784633e-06,,,,,,,,,0.002337722261673021,1.9516074450051354e-06,0.003576525536481476,2.0811613470954608e-06,0.0016396393860846465,1.391429260820175e-06,,,,,,,,,,,titanohematite,,,,,,,,
