Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
BRe_grain_53,0.014210122569750327,4.150912346883895e-06,0.0006937884102101401,1.4057658120980708e-06,,,,,0.342761691920384,1.2946209469367308e-05,,,,,0.0034325257956013006,2.0661057692334788e-06,,,0.6026797511676385,1.467357070332274e-05,,,,,0.0038514558615503056,2.044295734120811e-06,0.02860738198599599,2.474916210267607e-06,0.0037632822888693956,2.23064699176106e-06
BRe_grain_54,0.000990550647820509,2.2360965663427766e-06,,,,,,,0.4229593328417873,1.3224253182417467e-05,,,,,,,,,0.5705507467182467,1.3393930903357316e-05,,,,,0.0021429208240161973,2.1217652586926465e-06,0.003356448968129299,1.2696812944545636e-06,,
BRe_grain_55,0.001910072333367694,4.125181864508445e-06,,,,,,,0.37603108558853643,1.209178947279144e-05,,,,,0.0011613003267206103,2.0335507499162528e-06,,,0.6043609949630188,1.2760637696128885e-05,,,,,0.0023792994013631915,1.99640355219513e-06,0.013017762836614178,2.2921533101904677e-06,0.0011394845503791059,2.18244703469175e-06
BRe_grain_56,0.003430633042400657,3.5513953343539575e-06,,,,,,,0.28901421854890613,9.416866648743022e-06,,,,,0.000915430691302604,1.7223145770133324e-06,,,0.6965687238304572,9.946949976128909e-06,,,,,0.010070993886933314,3.4643333834959824e-06,,,,
BRe_grain_57,0.004858281546791994,4.058635559550129e-06,0.000668979989950231,1.369899222907165e-06,,,,,0.3585891846625862,1.1688118107900183e-05,0.0006108042787869875,1.4108590968430502e-06,,,0.0008650908139628397,2.0330726938943736e-06,,,0.6193391319996763,1.248146776777015e-05,,,,,0.01071505150837479,3.886437312728724e-06,0.0043534751998707474,2.2243971727517334e-06,,
BRe_grain_58,0.008606558039096652,3.141964344706944e-06,0.001074866389677793,1.097929262039245e-06,,,,,0.28417480565140285,9.099943475081993e-06,0.00042890308768422496,1.0962200012012495e-06,,,0.0009165338816000374,1.5638075463534584e-06,,,0.6728861294216766,1.0254834608044167e-05,,,,,0.030533615809879195,3.1419833985861352e-06,0.001000769054358295,9.346891776173209e-07,0.00037781866462428,8.780564756507692e-07
BRe_grain_59,0.0076372299348482645,4.020575391791069e-06,0.0016371136914180022,1.332168013325695e-06,,,,,0.3256042221851974,1.3021619822621196e-05,,,,,,,,,0.6161820549887871,1.5074099738636773e-05,,,,,0.002340843896816219,1.9367448703964224e-06,0.04302619177525807,3.7462341699682844e-06,0.0035723435276749822,2.1027299218752e-06
BRe_grain_60,0.006977935287619665,3.929012915290462e-06,0.0010998658832863304,1.3583656565566676e-06,,,,,0.35401867376649593,1.1402353285660294e-05,,,,,,,,,0.6195105463573112,1.2112757977688836e-05,,,,,0.016760651536629298,3.7331051138697577e-06,0.0012291367110282229,1.1067111558150927e-06,0.00040319045762930847,1.036784751155792e-06
BRe_grain_61,0.004344222403152904,4.141580602771181e-06,0.0003761409269385833,1.3666890227535014e-06,,,,,0.3740462350235609,1.2089245333417392e-05,,,,,,,,,0.6093212830402427,1.273778566515415e-05,,,0.00037257192492747725,1.7371926983575818e-06,0.011539546681177446,3.933604904055914e-06,,,,
BRe_grain_62,0.0068541978145643485,4.1353394409793335e-06,0.0035557819668748155,1.3606232167432493e-06,,,,,0.35253026320700115,1.18681484985075e-05,,,,,0.002706287248286722,2.0511846908779544e-06,,,0.6226072542507697,1.2683128476021932e-05,,,,,0.011012887400994039,3.870764521526513e-06,0.00031681668096733963,1.139547884164295e-06,0.0004165114305418777,1.0765085338328078e-06
