Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_110,0.30602861432506995,1.9053842620426327e-05,0.5982381062007612,2.3440238045874403e-05,0.08579892195242549,7.106564209722082e-06,0.002748270067035864,4.168483788015395e-06,,,,,0.004261605771027158,3.0274595376454606e-06,,,0.00043949608960823164,3.968592264884531e-06,0.002484985594072089,3.328320262323438e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_111,0.3652459281068988,1.920098924962918e-05,0.5815115505892078,2.1563272646932893e-05,0.023446205250757746,3.822213250602107e-06,0.018653445733138117,6.542143735874557e-06,,,,,,,,,0.003518376832612891,4.237672577413355e-06,0.007624493487384633,3.57735113532192e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_112,0.3307195476391107,1.5231670437981469e-05,0.6572069677955572,1.6243979036020013e-05,0.0009655863617695267,2.3554862965414455e-06,0.004111531013568204,4.115646006823797e-06,,,,,0.001850561718119904,3.0932944975702543e-06,,,0.005145805471874419,3.836315517406674e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_113,0.30360148142674687,1.810641142813496e-05,0.6083644081478847,2.1713319276888938e-05,0.06839793228472892,6.342440924784777e-06,0.011545040911118704,6.111704961751115e-06,,,,,0.003106458831629923,3.0070193645533634e-06,,,0.0016301052268479174,3.905381575002057e-06,0.0033545731710429294,3.2596533855688687e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_114,0.4056916936373621,1.7963064162010717e-05,0.5881792397955258,1.82717624334375e-05,0.00020965983274647915,2.3113539942679243e-06,0.0031335731516969113,4.39292216438848e-06,,,,,,,,,0.0027858335826686075,4.1868894995247604e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_116,0.3018361752797272,1.8317586956899023e-05,0.6067619931889735,2.2712618213566716e-05,0.07180002334774359,6.75526267644531e-06,0.006123829824281335,4.160550008739468e-06,,,,,0.0045091854499545395,3.0191942455149507e-06,,,0.004466021866946838,3.985998465899628e-06,0.004502771042372865,3.2808996257302475e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_117,0.35268439078230296,1.813603602570614e-05,0.5964664963185687,2.0329238177395295e-05,0.03930641558704574,5.082733919930391e-06,0.010077574505324769,6.448098199181074e-06,,,,,,,,,0.0014651228067577098,4.04514501015815e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_119,0.38596468829740577,1.699008948973153e-05,0.5917225842685992,1.7811924696242425e-05,0.0027478444738292065,2.4407849140619428e-06,0.006538806982513234,4.258073064685048e-06,,,,,,,,,0.013026075977652549,4.077942601656667e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_123,0.37487104259327875,1.316489585161491e-05,0.5978591450949502,1.4181482311811194e-05,0.011673473662024723,2.538797797066741e-06,0.0048069502584624346,4.2900836981821415e-06,,,,,,,,,0.00972315754696377,4.193281710784453e-06,,,0.0005675155429225078,1.4850904045143873e-06,,,,,0.0004987153013976391,1.5161215687233643e-06,,,,,hematite,,,,,,,,
BRc_grain_124,0.3522818318314409,1.235936674769159e-05,0.6038289677643052,1.357475088228145e-05,0.010131207780850382,2.387575897824316e-06,0.007886506133661998,4.23348518692455e-06,,,,,0.0011431232489116667,2.063268710878743e-06,,,0.02005728338620386,4.075430900667706e-06,,,0.0019517709819523892,1.4169160617854205e-06,,,,,0.002719308872673749,1.4582024984134658e-06,,,,,hematite,,,,,,,,
BRc_grain_125,0.38870806575732997,1.2086400161705171e-05,0.6005679643751007,1.2550146112511525e-05,0.0030386588824501018,1.2080016826111943e-06,0.002515529783705033,4.41678399162776e-06,,,,,,,,,0.0033390449996685964,2.08070090163613e-06,,,0.00040233901319158783,1.4812457891862938e-06,,,,,,,0.0014283971885539805,2.979742511901626e-06,,,hematite,,,,,,,,
BRc_grain_126,0.35506770165201956,1.1865006525555176e-05,0.6304589371069222,1.2372616344542062e-05,0.006126227772741162,2.241640655296895e-06,0.005710708096641163,4.007901269321165e-06,,,,,,,,,0.002636425371675859,1.8971005524704524e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_127,0.3963057055621391,1.2425878436944135e-05,0.5952199662392579,1.2783581064808619e-05,0.0019107143232068267,1.2348028761383254e-06,0.0019320001396142038,4.390057779643182e-06,,,,,0.0017237925004031892,2.1086000877606725e-06,,,0.002907821235378826,2.095451715970661e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_128,0.36016067963791176,1.2613835587994834e-05,0.6005724478809337,1.3870985054453753e-05,0.007338912264576908,2.443249960499784e-06,0.0089906305088293,4.264841644200545e-06,,,,,0.0011696538825729844,2.14441220798333e-06,,,0.019099613728208894,4.105549694673745e-06,,,0.0010344675027105761,1.419658608234233e-06,,,,,0.001633594594256013,1.5005860038119012e-06,,,,,hematite,,,,,,,,
BRc_grain_129,0.3988062897193623,1.2461543199438744e-05,0.5968963208334015,1.2563786930418237e-05,,,,,,,,,,,,,0.00429738944723615,2.074833109817884e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_130,0.3106179097785608,1.2701309070771667e-05,0.6117005623954339,1.5059402582587176e-05,0.07409169996755292,4.32565287008364e-06,,,,,,,0.003204889834789101,2.056301744386529e-06,,,,,,,0.0003849380236632391,1.4044868015256514e-06,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_131,0.3829525355338789,1.2089327329957346e-05,0.5978592697174032,1.2875471962011408e-05,0.006047781514883693,2.483501710445105e-06,0.004653634009722929,4.301364966758287e-06,,,,,,,,,0.007675081126190311,4.033804758541392e-06,,,0.0004811981335803668,1.4419299009968603e-06,,,,,0.000330499964340571,1.5295836588603576e-06,,,,,hematite,,,,,,,,
BRc_grain_132,0.37393336950480077,1.3233571150103046e-05,0.6036547331191742,1.4067339459249168e-05,0.005585450145704805,2.3919041041492023e-06,0.004721099344674067,4.2817582983242505e-06,,,,,0.0015647162434756024,2.1329895924980534e-06,,,0.00917969019769423,4.081095331762513e-06,,,0.0008703232871651944,1.4568956108048741e-06,,,,,0.0004906181573111869,1.5051618311054382e-06,,,,,hematite,,,,,,,,
BRc_grain_133,0.37249635869553865,1.2208499063025276e-05,0.5974905459273572,1.3171231952923406e-05,0.004567550946965041,2.473333788588614e-06,0.0062859814850653,4.418074482409656e-06,,,,,0.0030271953658508933,2.1862923727431956e-06,,,0.014409982120483989,4.21316353512274e-06,,,0.0013036554388048524,1.4967415557657822e-06,,,,,0.00041873001993401,1.579699879536431e-06,,,,,hematite,,,,,,,,
BRc_grain_137,0.3709008200302846,1.203289877926988e-05,0.5957020118717062,1.2767881416521487e-05,0.002109997984234009,1.2294298570879513e-06,0.010495763756526666,4.32675780755612e-06,,,,,,,,,0.01831268953191283,4.135088412625049e-06,,,0.0007317115669491298,1.4875616882558195e-06,,,,,0.0017470052583864932,1.5248513717921258e-06,,,,,hematite,,,,,,,,
BRc_grain_138,0.36959861359818275,1.2036911893960163e-05,0.6277201726777707,1.2309531580031252e-05,0.00031264420378072217,1.1269583889371388e-06,0.0006620264997395456,4.056360668372939e-06,,,,,,,,,0.0017065430205261648,1.8963242428874159e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_139,0.385708509608082,1.2309168804069893e-05,0.5926086599370353,1.2995672170587077e-05,0.0023406303278267213,1.2628840965187256e-06,0.005742326034716169,4.446332171050037e-06,,,,,,,,,0.012438134690152952,4.2641461959910086e-06,,,0.0008239129237540486,1.4982982880329306e-06,,,,,0.00033782647843282634,1.4974905223887352e-06,,,,,hematite,,,,,,,,
BRc_grain_140,0.38570689770873484,1.2447230016184071e-05,0.592611393911909,1.319427670341608e-05,0.0023437059065966,1.210083068170464e-06,0.005743215006411551,4.483461937106228e-06,,,,,,,,,0.012434764664203264,4.237294153828928e-06,,,0.000821908949614431,1.5071437316448513e-06,,,,,0.00033811385253031557,1.5292533341619665e-06,,,,,hematite,,,,,,,,
BRc_grain_141,0.35328877694594335,1.2478817308219973e-05,0.6113614755518004,1.357412928743192e-05,0.021408362425524484,2.40173788608636e-06,0.004070440614646308,4.195127147796288e-06,,,,,0.0010829468759129088,2.026176958434484e-06,,,0.007921296405721806,4.078641189099724e-06,,,0.0006252975972072843,1.3993157818446454e-06,,,,,0.0002414035832434557,1.4660000975343396e-06,,,,,hematite,,,,,,,,
BRc_grain_142,0.3920211775349212,1.2494845082645763e-05,0.5925359413793485,1.3346601326086038e-05,0.001997008738311365,1.2316596890154842e-06,0.003296493652915599,4.454884085218209e-06,,,,,0.0011354454346168142,2.1913714054875283e-06,,,0.008440880601934266,4.311021783283645e-06,,,0.0005730526579522317,1.5084523535170565e-06,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_143,0.4032137700972503,1.3549960667944296e-05,0.5728943691231118,1.4247008128211587e-05,0.00784785380596974,2.6805942728292933e-06,0.004823675007392147,4.699355211535697e-06,,,,,,,,,0.010254742490431524,4.558173397408129e-06,,,0.0009655894758446649,1.6233877698571666e-06,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_144,0.3497274475375661,1.327255633954526e-05,0.6013119687749985,1.4732433230642384e-05,0.040011044392194606,3.8688017144996726e-06,0.003124680072934809,4.452448459024405e-06,,,,,,,,,0.0054215630290502205,2.091078445438924e-06,,,0.0004032961932556883,1.5063045756369932e-06,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_145,0.34973872921260046,1.17226726825648e-05,0.6232000695290215,1.2738295706466226e-05,0.00565844155111982,2.2937243524117194e-06,0.00595709933836849,4.04026281709481e-06,,,,,0.0010840405390936001,1.9984602141931437e-06,,,0.012620846737222162,3.880023132262689e-06,,,0.0005200143632374748,1.3641704382164041e-06,,,,,0.0012207587293365414,1.3812451839119001e-06,,,,,hematite,,,,,,,,
BRe_grain_01,0.3458366588508593,1.1488028190864483e-05,0.6436549116447147,1.202393104177175e-05,,,,,,,,,,,,,0.010508429504426056,4.375264305281347e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRe_grain_02,0.36622240907413456,1.1914389450699186e-05,0.6173176133055135,1.2369048525558452e-05,,,,,,,,,0.0018249871215113593,2.1411773817926457e-06,,,0.01173469912828268,4.143899498147422e-06,,,0.0029002913705579256,1.4979863802349225e-06,,,,,,,,,,,hematite,,,,,,,,
BRe_grain_04,0.4053817791197544,1.2738385232362919e-05,0.5864699275825788,1.2916390393408684e-05,0.0004899800590300706,1.2516802023845549e-06,0.003845443331753292,4.439245218629867e-06,,,,,,,,,0.0038128699068835166,2.1948005324829277e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRe_grain_05,0.40673181285070004,1.254366211052635e-05,0.5908898083063275,1.2599801165977e-05,,,0.0004929049783346655,2.277279242590953e-06,,,,,,,,,0.0018854738646377853,2.1395078410658737e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRe_grain_06,0.3473339004392259,1.0799093629159465e-05,0.6492114664975692,1.1138687620525106e-05,0.002229936332962585,1.072487391404295e-06,0.0005249257840354899,3.80465589789469e-06,,,,,,,,,0.0006997709462067325,1.8606962259248075e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
