Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
LRa02_grain_93,0.005714745384571419,3.4568250492296643e-06,0.0008053621629982212,1.5370758153644644e-06,,,0.3342773219998651,1.1490387156094276e-05,,,,,0.0010905495774206735,1.9546693129788916e-06,,,0.6404031045309712,1.2327781354436834e-05,,,,,0.01770891634417346,3.514792480260955e-06,,,,,,,,,,
LRa02_grain_95,0.010048106905897846,3.8062550498159737e-06,0.0003607602487297514,1.5649972380070185e-06,,,0.33473656321051803,1.229230978430327e-05,,,0.010962436143707979,5.2271444622550925e-06,0.001061379404062847,2.0237981290085905e-06,,,0.6216615319916083,1.3725651688853878e-05,,,,,0.01576678088343052,3.5361461797752175e-06,,,0.0050514538455471575,1.8874248082710697e-06,0.00035098736649753597,1.5929327320542196e-06,,,,
LRa02_grain_94,0.0011467332468662688,3.387237268515823e-06,,,,,0.3951166045078072,1.3496215688449039e-05,,,,,,,,,0.5971172651866214,1.3811332724381935e-05,,,,,0.004416039105053563,3.0822646880175966e-06,,,0.0022033579536515856,1.8577428327378779e-06,,,,,,
LRa02_grain_96,0.0014991031617011441,3.320854324955575e-06,0.0007972446711553114,1.686705316769155e-06,,,0.35867115812563405,1.3103397068051075e-05,,,,,,,,,0.6230084091931642,1.3743610577672026e-05,,,0.001522658034622513,2.1938113493833697e-06,0.010748847155617018,3.315196876151178e-06,,,0.003752579658105829,1.8497306977800228e-06,,,,,,
LRa02_grain_97,0.00876375431733523,3.8886114177404946e-06,0.0006111242265548152,1.668043479872915e-06,,,0.3672064908463945,1.3407869041494897e-05,,,,,0.000997193053319734,2.1375993872047593e-06,,,0.6026208447774773,1.4484036590739452e-05,,,,,0.012981163278731757,3.5643388208799555e-06,,,0.006217295575769974,2.043461988587546e-06,0.0006021339244166435,1.7574644375235462e-06,,,,
LRa02_grain_98,,,0.0006524088424747765,1.2313947829926484e-06,0.0006074582402609488,1.3952080464748926e-06,0.11649091133354962,8.464469169023709e-06,,,,,0.008764910164068778,2.3360479378179804e-06,,,0.6874792503875715,1.892284642981519e-05,,,,,0.0008844608632737381,1.969925591649161e-06,,,0.18512060016880075,1.1635629163967505e-05,,,,,,
LRa02_grain_99,0.008818854405056031,3.928556140323779e-06,0.0006005972428760906,1.735483415261348e-06,,,0.37905940258823495,1.3739427596436359e-05,0.0007376248471934338,1.7492286406317998e-06,,,0.0009000066002310957,2.193716012888876e-06,,,0.5886710997980937,1.4919293830653348e-05,,,,,0.01509317667713091,3.646309079385556e-06,,,0.005455378068445109,2.092559554846776e-06,0.0006638597727386695,1.7773347223154197e-06,,,,
LRa02_grain_100,,,,,,,0.3839309920753897,1.2825893511380817e-05,,,,,,,,,0.6095320264058789,1.2998119846353195e-05,,,,,0.006536981518731349,3.1735432213122707e-06,,,,,,,,,,
LRa02_grain_101,0.0011889456131180982,2.86567643470942e-06,,,,,0.2967572419316159,1.0480245520880234e-05,,,,,0.0010936615487090054,1.8679302923243612e-06,,,0.6883309640911457,1.1209106026509433e-05,0.001688221626836679,2.141358939524587e-06,,,0.01094096518857462,3.103839122282802e-06,,,,,,,,,,
LRa02_grain_102,0.011306618713558635,3.8614107863605e-06,0.0004880525870635302,1.5810321475433234e-06,,,0.32998511988037904,1.2290804275135255e-05,,,0.011877263279424578,5.070712078501874e-06,0.0010019531792485317,1.985302496023361e-06,,,0.6216703743826694,1.4036165938480319e-05,,,,,0.019146894835777105,3.7492511917898556e-06,,,0.0040819731136446874,1.8031875672042909e-06,0.0004417500282345152,1.5807287223427599e-06,,,,
