Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
LRa02_grain_18,0.0076213596895463405,4.671328053885607e-06,0.0005206799852343155,1.5986649159027005e-06,,,0.3919606396521483,1.2961844531915565e-05,,,,,,,,,0.5843967657543486,1.3677053332668453e-05,,,,,0.010791972268331198,4.551472768105186e-06,0.003273580064803897,1.3381494249162687e-06,0.001435002585587298,1.2141582060701373e-06
LRa02_grain_19,0.0164241281759844,4.319125076605612e-06,0.0005598168731336202,1.4706675136001978e-06,,,0.33062769832981487,1.1860044011706084e-05,,,0.01360080424528383,4.7124661718750625e-06,,,,,0.6079457482091086,1.37357329521681e-05,,,,,0.02433907042340316,4.060288349087583e-06,0.006502733743271534,2.4911273487259338e-06,,
LRa02_grain_20,0.019261900711523314,4.534154247298405e-06,0.000663545950097052,1.5311306792388422e-06,0.0007525099183376615,1.686769189013203e-06,0.3184171563528156,1.2386973175183398e-05,0.0003409105986692666,1.552787369895153e-06,0.022208845653218116,4.967193885523518e-06,,,,,0.5980387565886998,1.4930104933894318e-05,,,,,0.03120193534871153,4.325174386848382e-06,0.009114438877927624,2.556446773776932e-06,,
LRa02_grain_21,,,,,,,0.39356201917258365,1.2447956708354402e-05,,,,,,,,,0.5988018793937898,1.2731969988355798e-05,,,,,0.007636101433626526,4.3639912335146385e-06,,,,
LRa02_grain_22,0.0017474462832679277,4.512278872498609e-06,,,,,0.3941786285884403,1.2866323373010778e-05,,,,,,,,,0.597493466242626,1.3046061728229289e-05,,,,,0.006580458885665807,2.158242877761907e-06,,,,
LRa02_grain_23,0.02027218429540431,4.27209082833662e-06,0.0006381639907684811,1.468914533489702e-06,,,0.3296260372032212,1.1927727486084402e-05,0.0007357343797422819,1.4903178204367778e-06,0.018422086475287165,4.8584908460587775e-06,,,,,0.596251452726123,1.382999847449049e-05,,,,,0.028237312442710237,4.092935016895626e-06,0.005817028486743293,2.446541625137468e-06,,
LRa02_grain_24,0.009358240698271689,4.6175831881218025e-06,0.00033952904367744706,1.5426288230803704e-06,,,0.378103431703064,1.266902865611938e-05,0.0002597529334865618,1.5663108444856352e-06,,,,,,,0.595318422831051,1.3252375166110866e-05,,,,,0.014325205909445828,4.4346111372340826e-06,0.001423908486578147,1.331510143483119e-06,0.0008715083944253667,1.2292146041318363e-06
LRa02_grain_25,0.007329626270630838,4.9891957349159725e-06,0.000638725260835755,1.6833822120783771e-06,,,0.40296619513258375,1.4344571756133519e-05,0.0009332539457196984,1.7211095706228635e-06,,,,,,,0.5676862738494557,1.5018589380688903e-05,,,,,0.014975740727007211,4.661235427665902e-06,0.00489617514697985,2.7911200947405885e-06,0.0005740096667871823,1.296669778196794e-06
LRa02_grain_26,0.009124678985546872,4.542693475814315e-06,0.0005958165601029252,1.55345269496875e-06,,,0.3734995608149937,1.262404977153977e-05,0.0017458939824545195,1.5988305961536396e-06,,,,,,,0.5886182253048171,1.3760364512788e-05,,,,,0.020321766570416646,4.451364862434989e-06,0.005289186892138365,2.6322425017492204e-06,0.0008048708895299128,1.231342556292921e-06
LRa02_grain_27,0.01627981207865791,4.4760525824489185e-06,0.0005000813908658361,1.5417401842858377e-06,,,0.3386541912341,1.1613898734538485e-05,,,0.02259601357056724,4.83878116928442e-06,,,,,0.5885337634270913,1.347167799130924e-05,,,,,0.02619981103246379,4.276600854868897e-06,0.007236327266253821,2.4794995911497538e-06,,
