Hematite_Senin_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
LRa02_grain_74,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.08,0.1597,30.8397,0.0821,61.0056,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.04,0.00023,0.0639,0.0156,0.075,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.6,0.00322,0.6566,0.0156,0.7399,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.05,0.00042,0.0424,0.0114,0.0335,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,0.08,0.0007,0.0709,0.0135,0.0469,,,,,TiO2,No,5/13/2025 18:15
Fe,EDS,K series,68.84,0.62578,67.2301,0.1031,38.0992,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,98.9036,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_75,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,15.46,0.08792,33.4117,0.1281,62.3862,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.05,0.0003,0.079,0.0148,0.0875,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.08,0.00043,0.0828,0.0128,0.088,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,14.95,0.1375,14.2395,0.0397,8.8806,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,0.64,0.00635,0.6458,0.0233,0.3787,,,,,V,Yes,
Mn,EDS,K series,0.9,0.00852,0.9683,0.0236,0.5265,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,51.41,0.46733,51.6953,0.0927,27.6525,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,101.1224,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_76,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,24.07,0.13688,29.2445,0.0864,59.4541,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.16,0.00092,0.2625,0.0163,0.3164,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.06,0.00031,0.0634,0.0133,0.0734,,,,,Nepheline,No,9/24/2025 22:58
Cl,EDS,K series,0.35,0.00304,0.389,0.0124,0.3569,,,,,NaCl,Yes,
Ca,EDS,K series,0.04,0.00037,0.0371,0.0115,0.0301,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,0.58,0.00531,0.5358,0.0155,0.3638,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,1.03,0.01027,0.997,0.0182,0.6366,,,,,V,Yes,
Fe,EDS,K series,68.2,0.61991,66.5656,0.1025,38.7687,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,98.0948,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_77,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.18,0.16025,31.2544,0.082,60.9528,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.06,0.00035,0.0995,0.0156,0.115,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.65,0.00351,0.7144,0.0158,0.7937,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,0.21,0.00193,0.1943,0.0142,0.1265,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,0.06,0.00063,0.061,0.0146,0.0373,,,,,V,Yes,
Fe,EDS,K series,69.58,0.63247,67.9702,0.1036,37.9746,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,100.2937,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_78,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,33.41,0.19,37.2328,0.0922,65.0317,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.32,0.00183,0.5086,0.0182,0.5268,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.91,0.00492,0.9901,0.0172,0.9851,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.09,0.00079,0.081,0.0117,0.0565,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,0.48,0.00439,0.4484,0.0153,0.2616,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,0.13,0.00127,0.1249,0.0153,0.0685,,,,,V,Yes,
Mn,EDS,K series,0.18,0.00174,0.1927,0.0205,0.098,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,66.74,0.60664,65.8946,0.1027,32.9718,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,105.4733,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_79,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.81,0.15818,32.7095,0.089,62.015,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.28,0.00161,0.4508,0.0174,0.5068,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.86,0.00465,0.9404,0.0167,1.0156,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.1,0.00086,0.0872,0.0117,0.066,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,1.23,0.01128,1.1457,0.0176,0.7255,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,0.05,0.00055,0.0535,0.0153,0.0318,,,,,V,Yes,
Mn,EDS,K series,0.19,0.00181,0.1994,0.0204,0.1101,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,66.6,0.60539,65.4136,0.1021,35.5291,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,101.0002,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_80,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.95,0.16469,31.448,0.0795,61.3729,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.05,0.00028,0.0783,0.0156,0.0907,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.44,0.0024,0.4891,0.015,0.5437,,,,,Nepheline,No,9/24/2025 22:58
Fe,EDS,K series,69.58,0.63249,67.9555,0.1036,37.9928,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,99.9708,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_81,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.22,0.05811,41.8191,0.2014,68.8562,,,,,hematite_elba,No,9/30/2025 17:52
Si,EDS,K series,0.09,0.00048,0.0839,0.0114,0.0787,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.05,0.00044,0.0423,0.0103,0.0278,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,36.82,0.33867,36.4888,0.059,20.0671,,,,,TiO2,No,5/13/2025 18:15
Mn,EDS,K series,1,0.00946,1.1453,0.0239,0.5492,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,20.78,0.18888,22.0926,0.0651,10.421,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,101.672,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_82,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.42,0.05929,41.0491,0.1988,67.4586,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.03,0.00017,0.0396,0.0131,0.0386,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.11,0.00062,0.1092,0.0118,0.1022,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.05,0.00047,0.0453,0.0105,0.0297,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,36.2,0.33296,35.7159,0.0584,19.6044,,,,,TiO2,No,5/13/2025 18:15
Fe,EDS,K series,25.66,0.23329,27.1173,0.0708,12.7666,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,104.0764,,100,,,,,,,
,,,,,,,,,,,,,,
