Hematite_Elba_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
BRc02_grain_51,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,17.73,0.10074,37.02,0.13,63.85,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.34,0.00193,0.51,0.02,0.52,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.26,0.00137,0.26,0.01,0.26,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.05,0.00047,0.05,0.01,0.03,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,14.77,0.13589,14.14,0.04,8.15,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.56,0.00562,0.57,0.02,0.31,,,,V,Yes,
Mn,EDS,K series,0.68,0.00645,0.73,0.02,0.37,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,51.57,0.48181,53.43,0.09,26.41,,,,Hematite,No,12/18/24 23:25
Zn,EDS,K series,0.19,0.00192,0.23,0.04,0.1,,,,Zn,Yes,
Total,,,,,106.95,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_52,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,22.84,0.12982,30.54,0.09,59.48,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.87,0.0049,1.37,0.02,1.58,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.07,0.00037,0.08,0.01,0.08,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.07,0.0006,0.06,0.01,0.05,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,2.58,0.02377,2.41,0.02,1.57,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,1,0.01,0.98,0.02,0.6,,,,V,Yes,
Fe,EDS,K series,65.12,0.60843,65.67,0.1,36.63,,,,Hematite,No,12/18/24 23:25
Total,,,,,101.11,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_53,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.73,0.15762,31.47,0.08,60.31,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.09,0.0005,0.14,0.02,0.16,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.41,0.00212,0.43,0.01,0.47,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.76,0.00696,0.7,0.02,0.45,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,70.1,0.655,70.32,0.1,38.6,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.07,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_54,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,22.74,0.12926,32.03,0.09,60.48,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.57,0.00323,0.89,0.02,1,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.66,0.00341,0.69,0.02,0.74,,,,Forsterite,No,12/9/24 20:00
K,EDS,K series,0.05,0.00037,0.04,0.01,0.03,,,,Orthoclase,No,12/9/24 20:17
Ca,EDS,K series,0.08,0.00066,0.07,0.01,0.05,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,4.22,0.03883,3.96,0.02,2.5,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.56,0.00558,0.55,0.02,0.33,,,,V,Yes,
Mn,EDS,K series,0.29,0.00277,0.31,0.02,0.17,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,63.34,0.59187,64.16,0.1,34.7,,,,Hematite,No,12/18/24 23:25
Total,,,,,102.71,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_55,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.21,0.16035,32.15,0.08,60.79,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.19,0.00109,0.31,0.02,0.35,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.61,0.00316,0.64,0.02,0.69,,,,Forsterite,No,12/9/24 20:00
K,EDS,K series,0.05,0.00043,0.05,0.01,0.04,,,,Orthoclase,No,12/9/24 20:17
Ca,EDS,K series,0.05,0.00045,0.05,0.01,0.03,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,0.6,0.00551,0.56,0.02,0.35,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.09,0.00095,0.09,0.01,0.05,,,,V,Yes,
Fe,EDS,K series,69.22,0.64676,69.56,0.1,37.69,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.4,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_56,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,18.66,0.10604,38.51,0.13,64.85,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.25,0.00142,0.38,0.02,0.37,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.38,0.00198,0.38,0.01,0.37,,,,Forsterite,No,12/9/24 20:00
K,EDS,K series,0.04,0.00034,0.04,0.01,0.03,,,,Orthoclase,No,12/9/24 20:17
Ca,EDS,K series,0.14,0.00121,0.12,0.01,0.08,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,14.45,0.13288,13.86,0.04,7.8,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.66,0.00659,0.68,0.02,0.36,,,,V,Yes,
Mn,EDS,K series,0.53,0.00504,0.58,0.02,0.28,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,51.65,0.48262,53.63,0.09,25.87,,,,Hematite,No,12/18/24 23:25
Total,,,,,108.18,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_57,,,,,,,,,,,,,
