Hematite Elba,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,15.97,0.43,0.05376,37.49,0.26,64.82,,,,,SiO2,Yes,
Al,EDS,K series,0.21,0.58,0.00149,0.36,0.02,0.37,,,,,Al2O3,Yes,
Si,EDS,K series,0.13,1.09,0.00068,0.12,0.02,0.12,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,32.89,0.94,0.32893,35.04,0.08,20.23,,,,,Ti,Yes,
V,EDS,K series,0.28,0.94,0.00277,0.3,0.04,0.16,,,,,V,Yes,
Mn,EDS,K series,1.89,0.84,0.01889,2.26,0.04,1.14,,,,,Mn,Yes,
Fe,EDS,K series,25.31,0.95,0.23003,26.59,0.1,13.17,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,102.16,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_69,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,32.24,1.04,0.10847,30.88,0.13,60,,,,,SiO2,Yes,
Al,EDS,K series,1.01,0.51,0.00723,1.97,0.03,2.27,,,,,Al2O3,Yes,
Si,EDS,K series,0.18,0.96,0.00093,0.19,0.02,0.21,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,5.98,0.97,0.05978,6.13,0.04,3.98,,,,,Ti,Yes,
V,EDS,K series,1.04,1,0.01043,1.04,0.03,0.64,,,,,V,Yes,
Fe,EDS,K series,59.66,1.01,0.54231,59.11,0.14,32.9,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,99.33,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_70,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,41.02,1.45,0.13803,28.27,0.1,58.13,,,,,SiO2,Yes,
Al,EDS,K series,0.54,0.5,0.00387,1.09,0.03,1.33,,,,,Al2O3,Yes,
Si,EDS,K series,1.39,0.94,0.00722,1.48,0.03,1.73,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.48,0.99,0.00484,0.49,0.02,0.34,,,,,Ti,Yes,
Mn,EDS,K series,0.19,0.91,0.00186,0.2,0.03,0.12,,,,,Mn,Yes,
Fe,EDS,K series,66.69,1.02,0.60619,65.09,0.14,38.35,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,96.62,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_71,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,24.39,0.72,0.08208,33.75,0.17,62.41,,,,,SiO2,Yes,
Al,EDS,K series,0.32,0.53,0.00229,0.6,0.02,0.66,,,,,Al2O3,Yes,
Si,EDS,K series,0.51,1.01,0.00263,0.5,0.02,0.53,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,15.51,0.96,0.15513,16.18,0.06,9.99,,,,,Ti,Yes,
V,EDS,K series,0.57,0.97,0.00571,0.59,0.03,0.34,,,,,V,Yes,
Fe,EDS,K series,48.67,0.99,0.44238,49.23,0.13,26.08,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,100.86,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_72,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,31.04,0.97,0.10447,32,0.13,61.05,,,,,SiO2,Yes,
Al,EDS,K series,0.3,0.51,0.00216,0.59,0.02,0.67,,,,,Al2O3,Yes,
Si,EDS,K series,0.23,0.97,0.0012,0.24,0.02,0.26,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,9.12,0.97,0.09117,9.36,0.05,5.96,,,,,Ti,Yes,
Mn,EDS,K series,0.67,0.89,0.00666,0.75,0.03,0.41,,,,,Mn,Yes,
Fe,EDS,K series,58.26,1.01,0.5296,57.91,0.14,31.65,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,100.83,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_73,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,43.38,1.48,0.14597,29.21,0.1,59.11,,,,,SiO2,Yes,
Al,EDS,K series,0.2,0.49,0.00143,0.41,0.02,0.49,,,,,Al2O3,Yes,
Si,EDS,K series,0.77,0.94,0.00397,0.81,0.02,0.94,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.47,0.99,0.00468,0.47,0.02,0.32,,,,,Ti,Yes,
Mn,EDS,K series,0.35,0.91,0.0035,0.38,0.03,0.23,,,,,Mn,Yes,
Fe,EDS,K series,68.88,1.03,0.62615,67.14,0.14,38.92,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,98.42,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_74,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.6,0.83,0.08951,32.22,0.16,61.69,,,,,SiO2,Yes,
Al,EDS,K series,0.35,0.53,0.00253,0.67,0.02,0.76,,,,,Al2O3,Yes,
Si,EDS,K series,1.55,1,0.00805,1.56,0.02,1.7,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,11.45,0.96,0.11448,11.91,0.06,7.62,,,,,Ti,Yes,
V,EDS,K series,0.58,0.98,0.00582,0.59,0.03,0.36,,,,,V,Yes,
Mn,EDS,K series,0.96,0.88,0.00958,1.09,0.03,0.61,,,,,Mn,Yes,
Fe,EDS,K series,49.26,0.99,0.4478,49.54,0.13,27.17,,,,,Fayalite,No,8/13/24 19:59
Ba,EDS,L series,0.38,0.94,0.00357,0.4,0.11,0.09,,,,,BaF2,Yes,
Total,,,,,,97.99,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_75,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.02,0.83,0.09092,32.74,0.15,62.1,,,,,SiO2,Yes,
